INSTITUICAO_ENSINO_ALUNO_2020;NOME;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022;IdAluno;Total_Presente;Total_Falta;Total_Justificada;IDADE_ALUNO_2021;IDADE_ALUNO_2022;Sexo
Rede Decisão/União;ALUNO-267;14;2;3J;Sim;8.370558666666668;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;9.7;5.625;8.0;8.958333333333334;9.777786666666666;5.0;4.0;G;Rede Decisão;Ingressante;Ametista;8.014;9.2;8.9;6.3;8.2;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.6;5.0;Nível 5 (1o EM);-1.0;4.0;P;2018.0;Sim;7.798470369565218;200.0;19.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.72463768115942;5.625;7.866666666666667;9.333333333333334;8.0;6.266666666666667;4.0;7.34375;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;7.8333325;5.0;Fase 6 (2º EM);269;41.0;0.0;337.0;15;16;M
Escola Pública;ALUNO-273;14;2;1R;Não;4.386945333333334;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;4.4;7.5;0.0;7.291666666666667;4.388883333333333;2.5;1.0;R;Escola Pública;Veterano;Quartzo;4.125;9.5;2.1;7.5;0.0;6.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.4;5.0;Nível 2 (5o e 6o ano);-1.0;1.0;B;2018.0;Não;6.683335555555555;595.0;145.0;12.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;6.777777777777777;7.5;5.666666666666666;5.833333333333333;5.5;Sem Nota;3.0;5.833333333333334;Promovido de Fase;Promovido de Fase;Promovido de Fase;Sem Recomendacao;Não;Não;7.555556666666667;5.0;Fase 2 (5º e 6º ano);275;55.0;2.0;34.0;15;16;F
Escola Pública;ALUNO-275;13;3;3M;Não;6.399376666666667;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;5.2;7.5;4.333333333333333;6.09375;5.666665;10.0;3.0;M;Escola Pública;Veterano;Ágata;5.815;8.8;5.8;6.3;3.4;6.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.4;5.0;Nível 4 (9o ano);-1.0;4.0;L;2017.0;Não;6.073162378787879;714.0;65.0;15.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;6.102272727272728;6.25;3.966666666666667;3.666666666666667;6.166666666666667;2.066666666666667;4.0;7.34375;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;6.8333275;5.0;Fase 5 (1º EM);277;48.0;4.0;306.0;14;15;F
Escola Pública;ALUNO-277;12;2;1E;Não;8.018889999999999;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.4;5.625;10.0;7.708333333333334;7.777773333333332;5.0;1.0;E;Escola Pública;Veterano;Ametista;8.183;9.5;10.0;7.5;7.8;8.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;7.8;5.0;Nível 3 (7o e 8o ano);-2.0;1.0;J;2018.0;Não;7.305919652173913;385.0;100.0;8.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;8.626811594202898;6.875;8.25;8.0;8.5;Sem Nota;3.0;6.041666666666667;Promovido de Fase;Promovido de Fase;Promovido de Fase;Sem Recomendacao;Não;Não;7.944443333333334;2.5;Fase 4 (9º ano);279;111.0;0.0;43.0;13;14;M
Escola Pública;ALUNO-288;12;0;2C;Não;6.840002;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;7.7;7.5;3.75;8.333333333333334;7.833333333333334;5.0;3.0;B;Rede Decisão;Veterano;Ametista;8.088;8.3;7.5;7.5;7.7;7.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.7;10.0;Nível 3 (7o e 8o ano);0.0;4.0;A;2020.0;Sim;8.107440578115117;114.0;11.0;4.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.91667;8.724699557242252;7.5;7.333333333333333;7.333333333333333;7.333333333333333;7.333333333333333;4.0;8.125;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;7.708335;10.0;Fase 3 (7º e 8º ano);290;51.0;0.0;336.0;13;14;F
Escola Pública;ALUNO-293;14;1;5F;Não;4.4162505;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;1.3;4.375;0.0;7.1875;6.6666675;10.0;5.0;F;Escola Pública;Veterano;Quartzo;3.08;0.0;3.9;0.0;0.0;5.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;3.5;10.0;Nível 5 (1o EM);0.0;5.0;F;2019.0;Não;3.845535880952381;857.0;60.0;5.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.08333;2.682539682539682;5.0;0.7222222222222222;0.3333333333333333;1.833333333333333;0.0;4.0;5.3125;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Alocado em Fase anterior;Não;Não;4.6250025;5.0;Fase 6 (2º EM);295;88.0;0.0;80.0;15;16;F
Escola Pública;ALUNO-295;9;3;1D;Não;7.586252;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;4.375;7.25;4.6875;7.75;10.0;1.0;A;Escola Pública;Veterano;Ágata;6.771;9.0;7.1;7.5;6.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.3;5.0;Nível 2 (5o e 6o ano);-1.0;2.0;B;2017.0;Não;7.720835333333334;229.0;36.0;5.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.166666666666668;7.5;6.5;6.0;7.0;Sem Nota;3.0;6.041666666666667;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Sem Recomendacao;Não;Não;7.666666666666667;10.0;Fase 2 (5º e 6º ano);297;22.0;3.0;371.0;10;11;M
Escola Pública;ALUNO-296;10;0;2B;Não;7.713335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;7.5;5.0;7.5;7.666665;10.0;2.0;B;Escola Pública;Veterano;Ametista;7.221;9.5;7.9;7.5;3.6;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0;2.0;A;2020.0;Não;6.823047731379731;548.0;86.0;8.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;6.990231990231988;7.5;5.25;4.0;6.5;Sem Nota;3.0;6.25;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Sem Recomendacao;Não;Não;7.499996666666666;5.0;Fase 3 (7º e 8º ano);298;140.0;0.0;30.0;11;12;F
Escola Pública;ALUNO-301;9;1;1J;Não;8.848335333333335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.2;7.5;9.5;7.916666666666668;7.833333333333333;10.0;2.0;J;Escola Pública;Veterano;Topázio;8.289;9.0;9.2;7.5;6.3;8.5;Mantido na Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.4;10.0;Nível 2 (5o e 6o ano);0.0;2.0;P;2019.0;Não;8.188103917267917;87.0;11.0;2.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;7.919672919672919;7.5;8.0;8.0;8.0;Sem Nota;3.0;6.875;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Sem Recomendacao;Não;Não;8.333336666666668;10.0;Fase 2 (5º e 6º ano);303;79.0;0.0;210.0;10;11;M
Rede Decisão/União;ALUNO-305;13;2;2J;Não;7.361390666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.3;7.5;6.5;6.458333333333334;8.277776666666666;5.0;3.0;J;Rede Decisão;Veterano;Ametista;7.315;7.9;7.8;5.6;7.5;7.5;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 4 (9o ano);-1.0;4.0;P;2018.0;Sim;6.916844597820308;522.0;44.0;5.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.916679999999999;8.301236044657097;6.25;5.944444444444444;4.666666666666667;8.166666666666666;5.0;4.0;7.34375;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;7.0833275;5.0;Fase 5 (1º EM);307;50.0;0.0;165.0;14;15;F
